2017-07-05 11:22:15 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.040334 | 0.040418 | SELECT * FROM `iwide_core_admin` WHERE `username` = 'fangxinzhu' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:18 | 555 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.031453 | 0.031493 | select o.*,h.name hname,i.roomname,p.price_name,i.orderid from iwide_hotel_orders o join ( select * from iwide_hotels where inter_id='a450089706') h on o.hotel_id=h.hotel_id join iwide_hotel_order_items i on o.orderid=i.orderid left join iwide_hotel_price_info p on i.price_code=p.price_code and i.inter_id=p.inter_id where o.inter_id='a450089706' and  o.status=0 and o.isdel=0 group by o.id order by o.order_time desc limit 2 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:18 | 555 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.025884 | 0.025919 | select count(*) count from iwide_hotel_order_items where inter_id='a450089706' and orderid='pk149139661744152'  | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:18 | 555 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.025841 | 0.025875 | select count(*) count from iwide_hotel_order_items where inter_id='a450089706' and orderid='c0148956880430149'  | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:18 | 555 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.029105 | 0.029145 | select count(*) count from iwide_hotel_orders where inter_id='a450089706' and  status=0 and isdel=0 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:18 | 555 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.055857 | 0.055884 | SELECT * FROM `iwide_core_node` WHERE `module` = 'adminhtml' AND `status` = 1 ORDER BY `sort` DESC | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:19 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.029259 | 0.029288 | SELECT * FROM `iwide_hotels_notify_config` WHERE `inter_id` = 'a450089706' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:19 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.092603 | 0.092624 | SELECT * FROM `iwide_hotel_orders` WHERE `inter_id` = 'a450089706' AND `status` NOT IN(9, 10) AND `order_time` >= 1499224939 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:19 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.030983 | 0.03101 | SELECT * FROM `iwide_hotel_check_out` WHERE `inter_id` = 'a450089706' AND `status` =0 AND `create_time` >= '2017-07-05 11:22:19' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:20 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.279302 | 0.279323 | SELECT COUNT(*) AS `numrows` FROM `iwide_soma_sales_order_1001` WHERE `inter_id` = 'a450089706' AND `create_time` >= '2017-07-05 11:22:19' AND `status` = 12 | host=30.iwide.cn:3306 dbname=iwide30soma username=iwide30dev
2017-07-05 11:22:22 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.035508 | 0.035532 | SELECT * FROM `iwide_roomservice_orders` WHERE `inter_id` = 'a450089706' AND `type` IN(1) AND `add_time` >= '2017-07-05 11:22:20' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:22 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.139552 | 0.139573 | SELECT `ra`.* FROM `iwide_roomservice_action` as `ra` LEFT JOIN `iwide_roomservice_shop` as `rs` ON `rs`.`shop_id` = `ra`.`shop_id` WHERE `ra`.`inter_id` = 'a450089706' AND `ra`.`type` = 1 AND `ra`.`add_time` >= '2017-07-05 11:22:22' AND `rs`.`sale_type` IN(1) | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:22 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.040446 | 0.040468 | SELECT * FROM `iwide_roomservice_orders` WHERE `inter_id` = 'a450089706' AND `type` IN(2) AND `add_time` >= '2017-07-05 11:22:22' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:23 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.300848 | 0.30088 | SELECT `ra`.* FROM `iwide_roomservice_action` as `ra` LEFT JOIN `iwide_roomservice_shop` as `rs` ON `rs`.`shop_id` = `ra`.`shop_id` WHERE `ra`.`inter_id` = 'a450089706' AND `ra`.`type` = 1 AND `ra`.`add_time` >= '2017-07-05 11:22:22' AND `rs`.`sale_type` IN(2) | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:23 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.131298 | 0.131319 | SELECT * FROM `iwide_roomservice_orders` WHERE `inter_id` = 'a450089706' AND `type` IN(3) AND `add_time` >= '2017-07-05 11:22:23' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:23 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.032666 | 0.032713 | SELECT `ra`.* FROM `iwide_roomservice_action` as `ra` LEFT JOIN `iwide_roomservice_shop` as `rs` ON `rs`.`shop_id` = `ra`.`shop_id` WHERE `ra`.`inter_id` = 'a450089706' AND `ra`.`type` = 1 AND `ra`.`add_time` >= '2017-07-05 11:22:22' AND `rs`.`sale_type` IN(3) | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:23 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.136006 | 0.136033 | SELECT * FROM `iwide_roomservice_orders` WHERE `inter_id` = 'a450089706' AND `type` IN(4) AND `add_time` >= '2017-07-05 11:22:23' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:23 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.164539 | 0.164571 | SELECT `ra`.* FROM `iwide_roomservice_action` as `ra` LEFT JOIN `iwide_roomservice_shop` as `rs` ON `rs`.`shop_id` = `ra`.`shop_id` WHERE `ra`.`inter_id` = 'a450089706' AND `ra`.`type` = 1 AND `ra`.`add_time` >= '2017-07-05 11:22:22' AND `rs`.`sale_type` IN(4) | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
